Timestamp,event_id,league,match_time,home_team,away_team,home_score,away_score,SPREAD_FT_-0.5,SPREAD_FT_-1.0,SPREAD_FT_-1.5,SPREAD_FT_-2.0,SPREAD_FT_0.0,SPREAD_FT_0.5,SPREAD_FT_1.0,SPREAD_FT_1.5,SPREAD_FT_2.0,SPREAD_FT_2.5,TOTAL_POINTS_FT_10.0,TOTAL_POINTS_FT_10.5,TOTAL_POINTS_FT_11.0,TOTAL_POINTS_FT_11.5,TOTAL_POINTS_FT_12.0,TOTAL_POINTS_FT_14.5,TOTAL_POINTS_FT_15.0,TOTAL_POINTS_FT_15.5,TOTAL_POINTS_FT_16.0,TOTAL_POINTS_FT_16.5,TOTAL_POINTS_FT_2.0,TOTAL_POINTS_FT_2.5,TOTAL_POINTS_FT_3.0,TOTAL_POINTS_FT_3.5,TOTAL_POINTS_FT_4.0,TOTAL_POINTS_FT_4.5,TOTAL_POINTS_FT_5.0,TOTAL_POINTS_FT_5.5,TOTAL_POINTS_FT_6.0,TOTAL_POINTS_FT_6.5,TOTAL_POINTS_FT_7.0,TOTAL_POINTS_FT_7.5,TOTAL_POINTS_FT_8.0,TOTAL_POINTS_FT_8.5,TOTAL_POINTS_FT_9.0,TOTAL_POINTS_FT_9.5,SPREAD_1H_-0.5,SPREAD_1H_-1.0,SPREAD_1H_0.0,SPREAD_1H_0.5,TOTAL_POINTS_1H_3.5,TOTAL_POINTS_1H_4.0,TOTAL_POINTS_1H_4.5,TOTAL_POINTS_1H_5.0,TOTAL_POINTS_1H_5.5
2024-12-06 21:48:49,1601778294,France - National Corners,2024-12-06T18:30:00Z,Villefranche (Corners),Dijon (Corners),3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778981,Netherlands - Eredivisie Corners,2024-12-06T19:00:00Z,PSV (Corners),FC Twente (Corners),7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778891,Bolivia - Primera Division Corners,2024-12-06T19:00:00Z,Always Ready (Corners),GV San Jose (Corners),1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601781443,England - Championship Corners,2024-12-06T20:00:00Z,Burnley (Corners),Middlesbrough (Corners),5,1,"HomeOdds:1.769, AwayOdds:2.06","HomeOdds:2.05, AwayOdds:1.781","HomeOdds:2.36, AwayOdds:1.588","HomeOdds:3.06, AwayOdds:1.359","HomeOdds:1.497, AwayOdds:2.55",,,,,,"OverOdds:1.33, UnderOdds:3.27","OverOdds:1.602, UnderOdds:2.36","OverOdds:1.847, UnderOdds:2.0","OverOdds:2.19, UnderOdds:1.694","OverOdds:2.79, UnderOdds:1.434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778786,Netherlands - Eerste Divisie Corners,2024-12-06T19:00:00Z,Helmond Sport (Corners),Den Bosch (Corners),3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778775,Netherlands - Eerste Divisie Corners,2024-12-06T19:00:00Z,VVV Venlo (Corners),TOP Oss (Corners),2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778886,Netherlands - Eerste Divisie Corners,2024-12-06T19:00:00Z,Maastricht (Corners),Vitesse Arnhem (Corners),5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778872,Netherlands - Eerste Divisie Corners,2024-12-06T19:00:00Z,Volendam (Corners),Jong AZ Alkmaar (Corners),6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778860,Netherlands - Eerste Divisie Corners,2024-12-06T19:00:00Z,Dordrecht (Corners),Telstar (Corners),4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601779000,England - Premier League Cup U21 Corners,2024-12-06T19:00:00Z,Swansea City (Corners),West Brom (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
